NOMBRE_ARV,SIGLAS_ARV,TIPO,TIPO_ENTIDAD_PADRE,TIPO_ENTIDAD_HIJO,ENTIDAD_COMPRADORA,UNIDAD_COMPRADORA,NUMERO_CONCURSO,DESCRIPCION,ORIGEN_FONDO,MODALIDAD,SUBMODALIDAD,NIT,NOMBRE_PROVEEDOR,MONTO,CANTIDAD,UNIDAD_MEDIDA,CANTIDAD_MULTIPLICADA_POR_UNIDADES,PRECIO_UNITARIO,FECHA_PUBLICACION,MES_PUBLICACION,ANO_PUBLICACION,FECHA_ADJUDICACION,MES_ADJUDICACION,ANO_ADJUDICACION,CATEGORIA,ESTATUS_CONCURSO,URL,MARCA
EFAVIRENZ 600MG,EFV600,NOG,Sector Público,Administración Central,MINISTERIO DE SALUD PÚBLICA,DEPARTAMENTO ADMINISTRATIVO,1415727,"ADQUISICIÓN DE 128,571 UNIDADES DEL MEDICAMENTO ANTIRRETROVIRAL DENOMINADO EFAVIRENZ EN TABLETAS DE 600MG. PARA EL PROGRAMA NACIONAL DE VIH/SIDADEL MINISTERIO DE SALUD PÚBLICA Y ASISTENCIA SOCIAL",MINISTERIO DE SALUD PÚBLICA Y ASISTENCIA SOCIAL,Cotización (Art. 38 LCE),,57908877,"SOLMEDICA, SOCIEDAD ANONIMA",899997.00,128571,tableta,128571,7.00,25/01/2011 16:35:05,1,2011,09/06/2011 10:58:22,6,2011,Salud e insumos hospitalarios,Terminado adjudicado,http://guatecompras.gt/concursos/consultaConcurso.aspx?nog=1415727,
EFAVIRENZ 600MG,EFV600,NOG,Sector Público,Administración Central,MINISTERIO DE SALUD PÚBLICA,HOSPITAL NACIONAL DOCTOR RODOLFO ROBLES,1456075,"ADQUISICION DE 12,840 TABLETAS DE MEDICAMENTO ANTIRETROVIRAL EFAVIRENZ DE 600 MG",MINISTERIO DE SALUD PÚBLICA Y ASISTENCIA SOCIAL,Compra Directa con Oferta Electrónica (Art. 43 LCE Inciso b),,57908877,"SOLMEDICA, SOCIEDAD ANONIMA",89880.00,12840,unidad,12840,7.00,08/02/2011 11:04:57,2,2011,17/02/2011 17:11:46,2,2011,Salud e insumos hospitalarios,Terminado adjudicado,http://guatecompras.gt/concursos/consultaConcurso.aspx?nog=1456075,
EFAVIRENZ 600MG,EFV600,NOG,Sector Público,Administración Central,MINISTERIO DE SALUD PÚBLICA,HOSPITAL NACIONAL REGIONAL DE ESCUINTLA,1458035,MEDICAMENTO ANTIRETROVIRAL EFAVIRENZ 600MG TABLETA,MINISTERIO DE SALUD PÚBLICA Y ASISTENCIA SOCIAL,Compra Directa con Oferta Electrónica (Art. 43 LCE Inciso b),,57908877,"SOLMEDICA, SOCIEDAD ANONIMA",89880.00,12840,unidad,12840,7.00,08/02/2011 15:20:59,2,2011,10/02/2011 16:35:23,2,2011,Salud e insumos hospitalarios,Terminado adjudicado,http://guatecompras.gt/concursos/consultaConcurso.aspx?nog=1458035,
EFAVIRENZ 600MG,EFV600,NOG,Sector Público,Administración Central,MINISTERIO DE SALUD PÚBLICA,HOSPITAL ROOSEVELT,1473662,MSPAS 2011 ROO-CD-160 (EFAVIRENZ TABLETA 600MG),MINISTERIO DE SALUD PÚBLICA Y ASISTENCIA SOCIAL,Compra Directa con Oferta Electrónica (Art. 43 LCE Inciso b),,57908877,"SOLMEDICA, SOCIEDAD ANONIMA",89880.00,12840,TABLETA ,12840,7.00,21/02/2011 12:00:34,2,2011,24/02/2011 14:36:21,2,2011,Salud e insumos hospitalarios,Terminado adjudicado,http://guatecompras.gt/concursos/consultaConcurso.aspx?nog=1473662,
EFAVIRENZ 50MG,EFV50,NOG,Sector Público,Administración Central,MINISTERIO DE SALUD PÚBLICA,HOSPITAL ROOSEVELT,1473719,"MSPAS 2011 ROO-CD-161 (INSULINA CRISTALINA, EFAVIRENZ, BUPIVACAINA)",MINISTERIO DE SALUD PÚBLICA Y ASISTENCIA SOCIAL,Compra Directa con Oferta Electrónica (Art. 43 LCE Inciso b),,25895508,"NORVANDA HEALTHCARE, SOCIEDAD ANONIMA; CORPORACION AMICELCO SOCIEDAD ANONIMA ",7157.71,10000,CAPSULA,10000,0.72,21/02/2011 11:59:41,2,2011,01/03/2011 9:35:56,3,2011,Salud e insumos hospitalarios,Terminado adjudicado,http://guatecompras.gt/concursos/consultaConcurso.aspx?nog=1473719,
EFAVIRENZ 600MG,EFV600,NOG,Sector Público,Administración Central,MINISTERIO DE SALUD PÚBLICA,1355 - (HOSPITAL NACIONAL DE COATEPEQUE),1486225,Compra de Efavirenz,MINISTERIO DE SALUD PÚBLICA Y ASISTENCIA SOCIAL,Compra Directa con Oferta Electrónica (Art. 43 LCE Inciso b),,57908877,"SOLMEDICA, SOCIEDAD ANONIMA",89880.00,12840,Unidad ,12840,7.00,28/02/2011 16:54:42,2,2011,01/03/2011 10:49:08,3,2011,Salud e insumos hospitalarios,Terminado adjudicado,http://guatecompras.gt/concursos/consultaConcurso.aspx?nog=1486225,
EFAVIRENZ 50MG,EFV50,NOG,Sector Público,Administración Central,MINISTERIO DE SALUD PÚBLICA,HOSPITAL ROOSEVELT,1488449,"MSPAS 2011 ROO-CD-196 (EFAVIRENZ,CLORURO DE SODIO AL 0.9% EN PRESENTACION DE 15 Y 5 ML y COMPLEJO B.)",MINISTERIO DE SALUD PÚBLICA Y ASISTENCIA SOCIAL,Compra Directa con Oferta Electrónica (Art. 43 LCE Inciso b),,12511862,OXI-RENT SOCIEDAD ANONIMA,20595.74,10000,CAPSULA,10000,2.06,03/03/2011 8:13:39,3,2011,08/03/2011 14:48:54,3,2011,Salud e insumos hospitalarios,Terminado adjudicado,http://guatecompras.gt/concursos/consultaConcurso.aspx?nog=1488449,
ABACAVIR 300MG,ABC300,NOG,Sector Público,Administración Central,MINISTERIO DE SALUD PÚBLICA,DEPARTAMENTO ADMINISTRATIVO,1519360,"Compra de 2,880 tabletas de Abacavir 300mg",MINISTERIO DE SALUD PÚBLICA Y ASISTENCIA SOCIAL,Compra Directa con Oferta Electrónica (Art. 43 LCE Inciso b),,1204076,"DROGUERIA REFASA , SOCIEDAD ANONIMA",89568.00,2880,Tabletas ,2880,31.10,24/03/2011 12:34:49,3,2011,05/04/2011 16:03:47,4,2011,Salud e insumos hospitalarios,Terminado adjudicado,http://guatecompras.gt/concursos/consultaConcurso.aspx?nog=1519360,
DIDANOSINA 25MG,DDI,NOG,Sector Público,Administración Central,MINISTERIO DE SALUD PÚBLICA,DEPARTAMENTO ADMINISTRATIVO,1549197,"Compra de 3,680 tabletas de Didanosina de 25mg, 6,000 tabletas de Didanosina de 50mg 
DEPARTAMENTO DE REGULACION DE LOS PROGRAMAS DE ATENCION A LAS PERSONAS /ITS/VIH/SIDA
",MINISTERIO DE SALUD PÚBLICA Y ASISTENCIA SOCIAL,Compra Directa con Oferta Electrónica (Art. 43 LCE Inciso b),,359815,DROGUERIA COLON SOCIEDAD ANONIMA,276.48,3660,Tabletas,3660,0.08,15/04/2011 16:24:24,4,2011,05/05/2011 8:30:00,5,2011,Salud e insumos hospitalarios,Terminado adjudicado,http://guatecompras.gt/concursos/consultaConcurso.aspx?nog=1549197,
DIDANOSINA 50MG,DDI,NOG,Sector Público,Administración Central,MINISTERIO DE SALUD PÚBLICA,DEPARTAMENTO ADMINISTRATIVO,1549197,"Compra de 3,680 tabletas de Didanosina de 25mg, 6,000 tabletas de Didanosina de 50mg 
DEPARTAMENTO DE REGULACION DE LOS PROGRAMAS DE ATENCION A LAS PERSONAS /ITS/VIH/SIDA
",MINISTERIO DE SALUD PÚBLICA Y ASISTENCIA SOCIAL,Compra Directa con Oferta Electrónica (Art. 43 LCE Inciso b),,359815,DROGUERIA COLON SOCIEDAD ANONIMA,276.48,6000,tabletas,6000,0.05,15/04/2011 16:24:24,4,2011,05/05/2011 8:30:00,5,2011,Salud e insumos hospitalarios,Terminado adjudicado,http://guatecompras.gt/concursos/consultaConcurso.aspx?nog=1549197,
LAMIVUDINA 150MG,3TC150,NOG,Sector Público,Administración Central,MINISTERIO DE SALUD PÚBLICA,HOSPITAL ROOSEVELT,1554506,"MSPAS 2011 ROO-CD-297 (SUMINISTRO DE LAMIVUDINA, INSULINA, VITAMINA B1, DIGOXINA)",MINISTERIO DE SALUD PÚBLICA Y ASISTENCIA SOCIAL,Compra Directa con Oferta Electrónica (Art. 43 LCE Inciso b),,25038923; 37294830; 4624718; 5686792; 735442 ,"XENTURY GLOBAL, SOCIEDAD ANONIMA.",2247.83,2000,TABLETA,2000,1.12,25/04/2011 12:36:26,4,2011,09/05/2011 12:54:54,5,2011,Salud e insumos hospitalarios,Terminado adjudicado,http://guatecompras.gt/concursos/consultaConcurso.aspx?nog=1554506,
LAMIVUDINA 150 MG,3TC150,NOG,Sector Público,Administración Central,MINISTERIO DE SALUD PÚBLICA,DEPARTAMENTO ADMINISTRATIVO,1684353,ADQUISICIÓN DE PRODUCTOS FARMACEUTICOS ANTIRRETROVIRALES LAMIVUDINA 150 MG. Y NEVIRAPINA 200 MG.,MINISTERIO DE SALUD PÚBLICA Y ASISTENCIA SOCIAL,Cotización (Art. 38 LCE),,37294830,"IMPORTADORA Y COMERCIALIZADORA RR, SOCIEDAD ANONIMA",440862.78,218760,tabletas,218760,2.02,01/08/2011 17:12:18,8,2011,07/09/2011 11:58:57,9,2011,Salud e insumos hospitalarios,Terminado adjudicado,http://guatecompras.gt/concursos/consultaConcurso.aspx?nog=1684353,
NEVIRAPINA 200 MG,NVP200,NOG,Sector Público,Administración Central,MINISTERIO DE SALUD PÚBLICA,DEPARTAMENTO ADMINISTRATIVO,1684353,ADQUISICIÓN DE PRODUCTOS FARMACEUTICOS ANTIRRETROVIRALES LAMIVUDINA 150 MG. Y NEVIRAPINA 200 MG.,MINISTERIO DE SALUD PÚBLICA Y ASISTENCIA SOCIAL,Cotización (Art. 38 LCE),,37294830,"IMPORTADORA Y COMERCIALIZADORA RR, SOCIEDAD ANONIMA",457670.22,227100,tableta,227100,2.02,01/08/2011 17:12:18,8,2011,07/09/2011 11:58:57,9,2011,Salud e insumos hospitalarios,Terminado adjudicado,http://guatecompras.gt/concursos/consultaConcurso.aspx?nog=1684353,
NEVIRAPINA 200MG,NVP200,NOG,Sector Público,Administración Central,MINISTERIO DE SALUD PÚBLICA,DEPARTAMENTO ADMINISTRATIVO,1783866,"Compra de Nevirapina 200 mg 
DEPARTAMENTO DE REGULACION DE LOS PROGRAMAS DE ATENCION A LAS PERSONAS /ITS/VIH/SIDA",MINISTERIO DE SALUD PÚBLICA Y ASISTENCIA SOCIAL,Compra Directa con Oferta Electrónica (Art. 43 LCE Inciso b),,37294830,"IMPORTADORA Y COMERCIALIZADORA RR, SOCIEDAD ANONIMA",90000.00,45000,Tableta ,45000,2.00,03/10/2011 16:51:14,10,2011,06/10/2011 14:41:16,10,2011,Salud e insumos hospitalarios,Terminado adjudicado,http://guatecompras.gt/concursos/consultaConcurso.aspx?nog=1783866,
